Source,Target,Weight,Type
Bancal des Issarts_1,Bancal des Issarts_2,1206,undirected
Bancal des Issarts_1,Barère_1,602,undirected
Bancal des Issarts_1,Barère_2,242,undirected
Bancal des Issarts_1,Bonneville_2,138,undirected
Bancal des Issarts_1,Fauchet_1,309,undirected
Bancal des Issarts_1,Fauchet_2,358,undirected
Bancal des Issarts_1,Garat_1,14,undirected
Bancal des Issarts_1,Garat_2,7,undirected
Bancal des Issarts_2,Bancal des Issarts_1,1206,undirected
Bancal des Issarts_2,Barère_1,852,undirected
Bancal des Issarts_2,Barère_2,332,undirected
Bancal des Issarts_2,Baudeau_1,3,undirected
Bancal des Issarts_2,Bonneville_1,15,undirected
Bancal des Issarts_2,Fauchet_1,509,undirected
Bancal des Issarts_2,Fauchet_2,3,undirected
Bancal des Issarts_2,Garat_1,17,undirected
Bancal des Issarts_2,Mirabeau_2,2,undirected
Barère_1,Bancal des Issarts_1,602,undirected
Barère_1,Bancal des Issarts_2,852,undirected
Barère_1,Barère_2,1149,undirected
Barère_1,Bonneville_1,14,undirected
Barère_1,Danton_1,102,undirected
Barère_1,Danton_2,65,undirected
Barère_1,Delisle de Sales_2,44,undirected
Barère_1,Garat_1,215,undirected
Barère_1,Marat_2,97,undirected
Barère_2,Bancal des Issarts_1,242,undirected
Barère_2,Bancal des Issarts_2,332,undirected
Barère_2,Barère_1,1149,undirected
Barère_2,Baudeau_2,14,undirected
Barère_2,Clavière_1,1,undirected
Barère_2,Danton_2,163,undirected
Barère_2,Gouges_1,14,undirected
Baudeau_1,Bancal des Issarts_2,3,undirected
Baudeau_1,Baudeau_2,1206,undirected
Baudeau_1,Clavière_2,620,undirected
Baudeau_1,Ducrest_1,22,undirected
Baudeau_1,Ducrest_2,4,undirected
Baudeau_1,Dupaty_1,85,undirected
Baudeau_1,Lacretelle_1,1,undirected
Baudeau_1,Lacretelle_2,280,undirected
Baudeau_1,Mirabeau_2,22,undirected
Baudeau_1,Sieyès_1,23,undirected
Baudeau_2,Barère_2,14,undirected
Baudeau_2,Baudeau_1,1206,undirected
Baudeau_2,Clavière_1,30,undirected
Baudeau_2,Clavière_2,115,undirected
Baudeau_2,Condorcet_2,324,undirected
Baudeau_2,D'Alembert_2,103,undirected
Baudeau_2,Dusaulx_2,4,undirected
Baudeau_2,G1785_1_Tableau_2,3,undirected
Baudeau_2,G1785_3_Troisième_1,60,undirected
Baudeau_2,Mirabeau_1,167,undirected
Bergasse_1,Bergasse_2,1206,undirected
Bergasse_1,Bonneville_1,9,undirected
Bergasse_1,Brissot_1,72,undirected
Bergasse_1,Brissot_2,23,undirected
Bergasse_1,Delisle de Sales_1,3,undirected
Bergasse_1,Dusaulx_1,11,undirected
Bergasse_1,Laclos_1,58,undirected
Bergasse_1,Lacretelle_1,59,undirected
Bergasse_1,Mercier_2,123,undirected
Bergasse_1,Rabaut Saint-Étienne_2,226,undirected
Bergasse_1,Sabatier de Castres_1,52,undirected
Bergasse_1,Sieyès_2,44,undirected
Bergasse_2,Bergasse_1,1206,undirected
Bergasse_2,Clavière_1,7,undirected
Bergasse_2,D'Alembert_1,71,undirected
Bergasse_2,Ducrest_2,309,undirected
Bergasse_2,Dupaty_2,1,undirected
Bergasse_2,Laclos_1,556,undirected
Bergasse_2,Sabatier de Castres_2,88,undirected
Bergasse_2,Sieyès_1,13,undirected
Bonneville_1,Bancal des Issarts_2,15,undirected
Bonneville_1,Barère_1,14,undirected
Bonneville_1,Bergasse_1,9,undirected
Bonneville_1,Bonneville_2,1206,undirected
Bonneville_1,Delisle de Sales_2,1,undirected
Bonneville_1,Dupaty_1,8,undirected
Bonneville_1,Fauchet_1,45,undirected
Bonneville_1,Fauchet_2,5,undirected
Bonneville_1,Gouges_1,17,undirected
Bonneville_1,Lacretelle_1,5,undirected
Bonneville_1,Mercier_1,60,undirected
Bonneville_1,Mercier_2,424,undirected
Bonneville_1,Mme Genlis_2,111,undirected
Bonneville_1,Petion_1,1,undirected
Bonneville_1,Talleyrand_1,106,undirected
Bonneville_2,Bancal des Issarts_1,138,undirected
Bonneville_2,Bonneville_1,1206,undirected
Bonneville_2,Fauchet_1,218,undirected
Bonneville_2,Fauchet_2,122,undirected
Bonneville_2,Mercier_1,336,undirected
Bonneville_2,Mirabeau_2,85,undirected
Bonneville_2,Mme Genlis_1,4,undirected
Bonneville_2,Talleyrand_1,68,undirected
Brissot_1,Bergasse_1,72,undirected
Brissot_1,Brissot_2,1206,undirected
Brissot_1,D'Alembert_1,47,undirected
Brissot_1,D'Alembert_2,136,undirected
Brissot_1,Dupaty_1,616,undirected
Brissot_1,Dupaty_2,336,undirected
Brissot_1,Dusaulx_1,105,undirected
Brissot_1,Petion_1,256,undirected
Brissot_1,Petion_2,291,undirected
Brissot_1,Rabaut Saint-Étienne_1,151,undirected
Brissot_2,Bergasse_1,23,undirected
Brissot_2,Brissot_1,1206,undirected
Brissot_2,Clavière_1,24,undirected
Brissot_2,D'Alembert_1,641,undirected
Brissot_2,D'Alembert_2,705,undirected
Brissot_2,Dupaty_1,21,undirected
Brissot_2,Dupaty_2,17,undirected
Brissot_2,Dusaulx_1,4,undirected
Brissot_2,Petion_1,33,undirected
Brissot_2,Petion_2,110,undirected
Brissot_2,Rabaut Saint-Étienne_1,129,undirected
Brissot_2,Talleyrand_1,32,undirected
Carra_1,Carra_2,1206,undirected
Carra_1,Desmoulins_1,293,undirected
Carra_1,Desmoulins_2,5,undirected
Carra_1,La Salle_1,200,undirected
Carra_1,La Salle_2,506,undirected
Carra_1,Manuel_1,662,undirected
Carra_1,Manuel_2,83,undirected
Carra_1,Rabaut Saint-Étienne_1,164,undirected
Carra_1,Rabaut Saint-Étienne_2,56,undirected
Carra_1,Sabatier de Castres_2,81,undirected
Carra_1,Sillery (Genlis Ch)_2,23,undirected
Carra_1,Talleyrand_1,14,undirected
Carra_1,Talleyrand_2,6,undirected
Carra_1,Target_1,111,undirected
Carra_1,Target_2,419,undirected
Carra_2,Carra_1,1206,undirected
Carra_2,Desmoulins_1,5,undirected
Carra_2,La Salle_1,512,undirected
Carra_2,La Salle_2,109,undirected
Carra_2,Manuel_1,714,undirected
Carra_2,Manuel_2,203,undirected
Carra_2,Rabaut Saint-Étienne_1,11,undirected
Carra_2,Rabaut Saint-Étienne_2,342,undirected
Carra_2,Sillery (Genlis Ch)_1,103,undirected
Carra_2,Sillery (Genlis Ch)_2,13,undirected
Carra_2,Talleyrand_1,140,undirected
Carra_2,Talleyrand_2,319,undirected
Carra_2,Target_1,77,undirected
Carra_2,Target_2,7,undirected
Clavière_1,Barère_2,1,undirected
Clavière_1,Baudeau_2,30,undirected
Clavière_1,Bergasse_2,7,undirected
Clavière_1,Brissot_2,24,undirected
Clavière_1,Clavière_2,1206,undirected
Clavière_1,Ducrest_1,137,undirected
Clavière_1,Ducrest_2,138,undirected
Clavière_1,Lacretelle_1,164,undirected
Clavière_1,Mirabeau_1,70,undirected
Clavière_1,Mirabeau_2,29,undirected
Clavière_1,Sieyès_1,47,undirected
Clavière_2,Baudeau_1,620,undirected
Clavière_2,Baudeau_2,115,undirected
Clavière_2,Clavière_1,1206,undirected
Clavière_2,Danton_1,7,undirected
Clavière_2,Ducrest_1,300,undirected
Clavière_2,Ducrest_2,15,undirected
Clavière_2,Gouges_2,4,undirected
Clavière_2,Mirabeau_1,194,undirected
Clavière_2,Petion_1,6,undirected
Clavière_2,Sieyès_1,37,undirected
Condorcet_1,Condorcet_2,1206,undirected
Condorcet_1,Fauchet_1,104,undirected
Condorcet_1,G1785_0_Preface_1,44,undirected
Condorcet_1,G1785_1_Tableau_1,79,undirected
Condorcet_1,Garat_2,89,undirected
Condorcet_1,Laclos_2,84,undirected
Condorcet_1,Petion_2,212,undirected
Condorcet_1,Sillery (Genlis Ch)_1,23,undirected
Condorcet_1,Target_2,42,undirected
Condorcet_2,Baudeau_2,324,undirected
Condorcet_2,Condorcet_1,1206,undirected
Condorcet_2,Fauchet_1,2,undirected
Condorcet_2,G1785_0_Preface_2,4,undirected
Condorcet_2,G1785_1_Tableau_2,47,undirected
Condorcet_2,Garat_1,9,undirected
Condorcet_2,Garat_2,62,undirected
Condorcet_2,Laclos_2,2,undirected
Condorcet_2,Marat_1,241,undirected
Condorcet_2,Mercier_2,1,undirected
Condorcet_2,Pastoret_2,32,undirected
Condorcet_2,Rabaut Saint-Étienne_2,196,undirected
Condorcet_2,Sillery (Genlis Ch)_1,16,undirected
D'Alembert_1,Bergasse_2,71,undirected
D'Alembert_1,Brissot_1,47,undirected
D'Alembert_1,Brissot_2,641,undirected
D'Alembert_1,D'Alembert_2,1206,undirected
D'Alembert_1,Delisle de Sales_1,180,undirected
D'Alembert_1,Delisle de Sales_2,190,undirected
D'Alembert_1,Dupaty_2,4,undirected
D'Alembert_1,Laclos_2,231,undirected
D'Alembert_2,Baudeau_2,103,undirected
D'Alembert_2,Brissot_1,136,undirected
D'Alembert_2,Brissot_2,705,undirected
D'Alembert_2,D'Alembert_1,1206,undirected
D'Alembert_2,Delisle de Sales_2,6,undirected
D'Alembert_2,Dupaty_1,6,undirected
D'Alembert_2,Dupaty_2,29,undirected
D'Alembert_2,Sieyès_1,324,undirected
Danton_1,Barère_1,102,undirected
Danton_1,Clavière_2,7,undirected
Danton_1,Danton_2,1206,undirected
Danton_1,Delisle de Sales_1,34,undirected
Danton_1,Delisle de Sales_2,236,undirected
Danton_1,Desmoulins_1,10,undirected
Danton_1,Desmoulins_2,799,undirected
Danton_1,Manuel_2,27,undirected
Danton_1,Sabatier de Castres_2,175,undirected
Danton_2,Barère_1,65,undirected
Danton_2,Barère_2,163,undirected
Danton_2,Danton_1,1206,undirected
Danton_2,Desmoulins_2,371,undirected
Danton_2,Dusaulx_1,39,undirected
Danton_2,La Salle_2,58,undirected
Delisle de Sales_1,Bergasse_1,3,undirected
Delisle de Sales_1,D'Alembert_1,180,undirected
