Source,Target,Weight,Type
Bergasse,Brissot,314,undirected
Bergasse,Delisle-de-Sales,1676,undirected
Bergasse,Gouges,26,undirected
Bergasse,Marmontel,1123,undirected
Bergasse,Villar,304,undirected
Brissot,Bergasse,314,undirected
Brissot,Condorcet,1098,undirected
Brissot,G1785_0_Préface,2,undirected
Brissot,Gouges,2097,undirected
Brissot,La-Harpe,718,undirected
Brissot,Sieyes,1900,undirected
Condorcet,Brissot,1098,undirected
Condorcet,D'Alembert,16,undirected
Condorcet,G1785_1_Tableau général de la littérature,75,undirected
Condorcet,G1785_4_Discours préliminaire,22,undirected
Condorcet,Garat,2325,undirected
Condorcet,Gouges,52,undirected
Condorcet,Sieyes,277,undirected
D'Alembert,Condorcet,16,undirected
D'Alembert,G1785_0_Préface,570,undirected
D'Alembert,G1785_2_Second tableau,8,undirected
D'Alembert,G1785_3_Troisième tableau,1,undirected
D'Alembert,La-Harpe,1637,undirected
D'Alembert,Sieyes,625,undirected
Delisle-de-Sales,Bergasse,1676,undirected
Delisle-de-Sales,Garat,2,undirected
Delisle-de-Sales,Gouges,336,undirected
Delisle-de-Sales,La-Harpe,369,undirected
Delisle-de-Sales,Marmontel,1408,undirected
Delisle-de-Sales,Villar,663,undirected
G1785_0_Préface,Brissot,2,undirected
G1785_0_Préface,D'Alembert,570,undirected
G1785_0_Préface,G1785_1_Tableau général de la littérature,1506,undirected
G1785_0_Préface,G1785_2_Second tableau,903,undirected
G1785_0_Préface,G1785_3_Troisième tableau,1092,undirected
G1785_0_Préface,G1785_4_Discours préliminaire,665,undirected
G1785_0_Préface,Garat,27,undirected
G1785_1_Tableau général de la littérature,Condorcet,75,undirected
G1785_1_Tableau général de la littérature,G1785_0_Préface,1506,undirected
G1785_1_Tableau général de la littérature,G1785_2_Second tableau,1802,undirected
G1785_1_Tableau général de la littérature,G1785_3_Troisième tableau,1807,undirected
G1785_1_Tableau général de la littérature,G1785_4_Discours préliminaire,1188,undirected
G1785_2_Second tableau,D'Alembert,8,undirected
G1785_2_Second tableau,G1785_0_Préface,903,undirected
G1785_2_Second tableau,G1785_1_Tableau général de la littérature,1802,undirected
G1785_2_Second tableau,G1785_3_Troisième tableau,2406,undirected
G1785_3_Troisième tableau,D'Alembert,1,undirected
G1785_3_Troisième tableau,G1785_0_Préface,1092,undirected
G1785_3_Troisième tableau,G1785_1_Tableau général de la littérature,1807,undirected
G1785_3_Troisième tableau,G1785_2_Second tableau,2406,undirected
G1785_4_Discours préliminaire,Condorcet,22,undirected
G1785_4_Discours préliminaire,G1785_0_Préface,665,undirected
G1785_4_Discours préliminaire,G1785_1_Tableau général de la littérature,1188,undirected
G1785_4_Discours préliminaire,Garat,429,undirected
G1785_4_Discours préliminaire,Gouges,96,undirected
G1785_4_Discours préliminaire,Sieyes,6,undirected
G1785_4_Discours préliminaire,Villar,295,undirected
Garat,Condorcet,2325,undirected
Garat,Delisle-de-Sales,2,undirected
Garat,G1785_0_Préface,27,undirected
Garat,G1785_4_Discours préliminaire,429,undirected
Garat,Gouges,386,undirected
Garat,Villar,1047,undirected
Gouges,Bergasse,26,undirected
Gouges,Brissot,2097,undirected
Gouges,Condorcet,52,undirected
Gouges,Delisle-de-Sales,336,undirected
Gouges,G1785_4_Discours préliminaire,96,undirected
Gouges,Garat,386,undirected
Gouges,La-Harpe,125,undirected
Gouges,Marmontel,1260,undirected
Gouges,Sieyes,959,undirected
La-Harpe,Brissot,718,undirected
La-Harpe,D'Alembert,1637,undirected
La-Harpe,Delisle-de-Sales,369,undirected
La-Harpe,Gouges,125,undirected
La-Harpe,Marmontel,13,undirected
La-Harpe,Sieyes,2406,undirected
La-Harpe,Villar,81,undirected
Marmontel,Bergasse,1123,undirected
Marmontel,Delisle-de-Sales,1408,undirected
Marmontel,Gouges,1260,undirected
Marmontel,La-Harpe,13,undirected
Marmontel,Villar,2353,undirected
Sieyes,Brissot,1900,undirected
Sieyes,Condorcet,277,undirected
Sieyes,D'Alembert,625,undirected
Sieyes,G1785_4_Discours préliminaire,6,undirected
Sieyes,Gouges,959,undirected
Sieyes,La-Harpe,2406,undirected
Villar,Bergasse,304,undirected
Villar,Delisle-de-Sales,663,undirected
Villar,G1785_4_Discours préliminaire,295,undirected
Villar,Garat,1047,undirected
Villar,La-Harpe,81,undirected
Villar,Marmontel,2353,undirected
