;link_bnf;link_gallica;author_short;selected;Titre;Date;Format;Auteur;Contributeur;Editeur;Description;Sujet;Langue;Format;link_gallica
11;http://catalogue.bnf.fr/ark:/12148/cb372352064;https://gallica.bnf.fr/ark:/12148/bpt6k45873d;Fauchet;;Discours sur la liberté françoise, prononcé le mercredi 5 août 1789, dans l'église paroissiale de S. Jacques... ([Reprod.]) par M. l'Abbé Fauchet,...;1789;"1 microfiche ; 105*148 mm";Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;"Collection : Les archives de la Révolution française ; 8.1016 | [Discours. 1789-08-05] |";;fre | français | ;"1 microfiche ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k45873d
12;http://catalogue.bnf.fr/ark:/12148/cb37235208t;https://gallica.bnf.fr/ark:/12148/bpt6k45874r;Fauchet;;Second discours sur la liberté françoise, prononcé le 31 août 1789, dans l'église paroissiale de Sainte-Marguerite... ([Reprod.]) par M. l'Abbé Fauchet,...;1789;"1 microfiche ; 105*148 mm";Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;"Collection : Les archives de la Révolution française ; 8.1017 | [Discours. 1789-08-31] |";;fre | français | ;"1 microfiche ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k45874r
13;http://catalogue.bnf.fr/ark:/12148/cb37235102g;https://gallica.bnf.fr/ark:/12148/bpt6k49114x;Fauchet;;Mandement de Claude Fauchet, évêque du Calvados ([Reprod.]) ;1791;"1 microfiche ; 105*148 mm";Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;"Collection : Les archives de la Révolution française ; 8.828";Basse-Normandie (France) -- 1789-1799 (Révolution) -- Sources;fre | français | ;"1 microfiche ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k49114x
14;http://catalogue.bnf.fr/ark:/12148/cb37236082x;https://gallica.bnf.fr/ark:/12148/bpt6k45694t;Fauchet;;"Mandement de Claude Fauchet, évêque du Calvados, député à l'Assemblée nationale ; Discours prononcé par Claude Fauchet, à l'autel de la Patrie, pendant la cérémonie de la fédération générale du département... près la ville de Caen ([Reprod.]) ";179.;"1 microfiche ; 105*148 mm";Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;"Collection : Les archives de la Révolution française ; 8.827";;fre | français | ;"1 microfiche ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k45694t
15;http://catalogue.bnf.fr/ark:/12148/cb37236093k;https://gallica.bnf.fr/ark:/12148/bpt6k456986;Fauchet;;"Discours prononcé par Claude Fauchet, à l'autel de la Patrie, pendant la cérémonie de la fédération générale du département... près la ville de Caen, le 14 juillet 1791 ; Prière pour la nation françoise et pour tous les frères ([Reprod.])";1791;"1 microfiche ; 105*148 mm";Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;"Collection : Les archives de la Révolution française ; 8.832 | [Discours. 1791-07-14. Caen] |";Basse-Normandie (France) -- 1789-1799 (Révolution) -- Sources;fre | français | ;"1 microfiche ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k456986
16;http://catalogue.bnf.fr/ark:/12148/cb37236087n;https://gallica.bnf.fr/ark:/12148/bpt6k456955;Fauchet;;Pétition de Claude Fauchet, évêque de Calvados, à l'Assemblée nationale ([Reprod.]) ;1791;"1 microfiche ; 105*148 mm";Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;"Collection : Les archives de la Révolution française ; 8.829";Basse-Normandie (France) -- 1789-1799 (Révolution) -- Sources;fre | français | ;"1 microfiche ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k456955
17;http://catalogue.bnf.fr/ark:/12148/cb37236068c;https://gallica.bnf.fr/ark:/12148/bpt6k45697v;Fauchet;;Lettre pastorale de Claude Fauchet, évêque du Calvados, aux pasteurs et aux fidèles du diocèse ([Reprod.]) ;1792;"1 microfiche ; 105*148 mm";Fauchet, Claude (1744-1793). Auteur du texte;;Pergamon press;"Collection : Les archives de la Révolution française ; 8.831";Basse-Normandie (France) -- 1789-1799 (Révolution) -- Sources;fre | français | ;"1 microfiche ; 105*148 mm";https://gallica.bnf.fr/ark:/12148/bpt6k45697v
18;http://catalogue.bnf.fr/ark:/12148/cb304199854;https://gallica.bnf.fr/ark:/12148/bpt6k6433746b;Fauchet;;Contre les billets de confession, motion faite par M. l'abbé Fauchet, à l'assemblée des représentans de la commune de Paris, le 12 mai 1790;;In-8° , 8 p.;Fauchet, Claude (1744-1793). Auteur du texte;;impr. de Lottin l'aîné et Lottin de Saint-Germain ((Paris,));;;fre | français | ;In-8° , 8 p.;https://gallica.bnf.fr/ark:/12148/bpt6k6433746b
19;http://catalogue.bnf.fr/ark:/12148/cb30419987t;https://gallica.bnf.fr/ark:/12148/bpt6k65187403;Fauchet;;Discours prononcé par Claude Fauchet évêque du Calvados, a l'autel de la Patrie, pendant la cérémonie de la fédération générale du département, dans la plaine des six districts, près la ville de Caen, le 14 juillet 1791;1791;"7 p. ; in-8";Fauchet, Claude (1744-1793). Auteur du texte;;impr. de P. Chalopin (Caen);;Caen (France);fre | français | ;"7 p. ; in-8";https://gallica.bnf.fr/ark:/12148/bpt6k65187403
20;http://catalogue.bnf.fr/ark:/12148/cb30419977h;https://gallica.bnf.fr/ark:/12148/bpt6k6259013g;Fauchet;;Adresse de la Société des amis de la Constitution à Caen à l'Assemblée nationale.;1791-1792;"7 p. ; in-8";Fauchet, Claude (1744-1793). Auteur du texte;;A Caen, chez P. Chalopin, imprimeur & membre de la Société des amis de la Constitution [1791 ou 1792].;;;fre | français | ;"7 p. ; in-8";https://gallica.bnf.fr/ark:/12148/bpt6k6259013g
