"Bergasse_3" "Bergasse_5" "Bergasse_6" "Bergasse_7" "Brissot_1" "Brissot_5" "Brissot_6" "Brissot_8" "Condorcet_11" "Condorcet_14" "Condorcet_4" "Condorcet_7" "D'Alembert_1" "D'Alembert_11" "D'Alembert_3" "D'Alembert_5" "Delisle-de-Sales_13" "Delisle-de-Sales_14" "Delisle-de-Sales_18" "Delisle-de-Sales_7" "Garat_10" "Garat_3" "Garat_8" "Garat_9" "Gouges_1" "Gouges_2" "Gouges_3" "Gouges_5" "La-Harpe_5" "La-Harpe_6" "La-Harpe_7" "La-Harpe_9" "Marmontel_10" "Marmontel_14" "Marmontel_2" "Marmontel_6" "Sieyes_11" "Sieyes_7" "Sieyes_8" "Sieyes_9" "Villar_1" "Villar_2" "Villar_4" "Villar_6"
"du" 1.04790419161677 0.997506234413965 0.949050949050949 0.648055832502493 0.65 0.648702594810379 0.749250749250749 0.699650174912544 0.599400599400599 0.899100899100899 1.05 0.849150849150849 0.549725137431284 0.899100899100899 0.499750124937531 0.499750124937531 0.849575212393803 1 0.848726909635547 0.499251123315027 0.897755610972569 1.05 0.999500249875062 0.9 0.7 0.75 0.749625187406297 0.599700149925038 0.748876684972541 0.449326010983525 0.498753117206983 0.497760079641613 0.898652021967049 0.699300699300699 1 0.899550224887556 0.649350649350649 0.899100899100899 0.8 0.8 0.599400599400599 0.948577134298552 0.698602794411178 0.749625187406297
"par" 0.598802395209581 0.548628428927681 0.699300699300699 0.299102691924227 1.05 0.798403193612774 0.599400599400599 0.79960019990005 1.0989010989011 1.44855144855145 0.95 0.849150849150849 1.24937531234383 1.14885114885115 0.999500249875062 0.949525237381309 0.79960019990005 0.85 0.54917623564653 0.698951572641038 0.748129675810474 0.85 0.549725137431284 0.35 0.75 0.3 0.949525237381309 0.749625187406297 0.748876684972541 0.698951572641038 0.798004987531172 0.497760079641613 0.499251123315027 0.4995004995005 0.35 0.399800099950025 0.749250749250749 0.649350649350649 0.9 0.4 0.4995004995005 0.54917623564653 0.399201596806387 0.899550224887556
"pas" 0.848303393213573 0.648379052369077 0.799200799200799 0.847457627118644 0.45 0.598802395209581 0.849150849150849 0.699650174912544 0.2997002997003 0.599400599400599 0.5 0.34965034965035 0.599700149925038 0.34965034965035 0.299850074962519 0.349825087456272 0.749625187406297 0.35 0.54917623564653 0.399400898652022 0.0498753117206983 0.65 0.449775112443778 0.4 1.2 0.95 0.749625187406297 0.549725137431284 0.898652021967049 0.599101347978033 1.44638403990025 0.945744151319064 0.848726909635547 0.899100899100899 0.6 1.04947526236882 0.799200799200799 0.649350649350649 1.25 1.15 0.54945054945055 0.599101347978033 0.499001996007984 0.549725137431284
"se" 0.349301397205589 0.399002493765586 0.34965034965035 0.299102691924227 0.55 0.399201596806387 0.649350649350649 0.399800099950025 0.2997002997003 0.649350649350649 0.35 0.24975024975025 0.649675162418791 0.649350649350649 0.349825087456272 0.549725137431284 0.399800099950025 0.2 0.499251123315027 1.04842735896156 0.598503740648379 0.45 0.699650174912544 0.55 0.4 0.3 0.599700149925038 0.349825087456272 0.399400898652022 0.599101347978033 0.249376558603491 0.696864111498258 0.848726909635547 0.3996003996004 0.3 0.749625187406297 0.849150849150849 1.04895104895105 1 0.9 0.599400599400599 0.649026460309536 0.748502994011976 0.899550224887556
"je" 1.14770459081836 1.14713216957606 0.899100899100899 0.847457627118644 0.25 0.29940119760479 0.34965034965035 0.449775112443778 0.24975024975025 0.04995004995005 0.1 0.14985014985015 0.0499750124937531 0.1998001998002 0.249875062468766 0.0499750124937531 0.699650174912544 0.3 0.54917623564653 0.599101347978033 0.0997506234413965 0.25 0.199900049975012 0.15 0.9 1.45 1.04947526236882 1.19940029985008 0.748876684972541 0.599101347978033 0.199501246882793 0.597312095569935 1.04842735896156 1.1988011988012 1 1.14942528735632 0.649350649350649 0.2997002997003 0.3 0.35 0.34965034965035 0.449326010983525 0.399201596806387 0.549725137431284
"nous" 0.249500998003992 0.199501246882793 0.34965034965035 0.249252243270189 0.35 0.249500998003992 0.24975024975025 0.349825087456272 0.3996003996004 0.3996003996004 0.3 0.2997002997003 0.899550224887556 1.0989010989011 1.14942528735632 1.09945027486257 0.249875062468766 0.25 0.0499251123315027 0.299550673989016 0.149625935162095 0.2 0.149925037481259 0.4 0.2 0.15 0.449775112443778 0.349825087456272 0.748876684972541 0.499251123315027 0.548628428927681 0.746640119462419 0.449326010983525 0.799200799200799 0.5 0.399800099950025 0.649350649350649 0.4995004995005 0.5 0.7 0.699300699300699 0.649026460309536 0.798403193612774 0.999500249875062
"au" 0.399201596806387 0.29925187032419 0.649350649350649 0.498504486540379 0.55 0.698602794411178 0.4995004995005 0.449775112443778 0.24975024975025 0.3996003996004 0.4 0.44955044955045 0.699650174912544 0.44955044955045 0.649675162418791 0.699650174912544 0.299850074962519 0.3 0.199700449326011 0.249625561657514 0.448877805486284 0.7 0.749625187406297 0.35 0.45 0.55 0.299850074962519 0.499750124937531 0.399400898652022 0.449326010983525 0.399002493765586 0.39820806371329 0.399400898652022 0.24975024975025 0.5 0.699650174912544 0.34965034965035 0.44955044955045 0.55 0.55 0.599400599400599 0.499251123315027 0.399201596806387 0.549725137431284
"sur" 0.698602794411178 0.349127182044888 0.4995004995005 0.598205383848455 0.55 0.399201596806387 0.749250749250749 0.649675162418791 0.649350649350649 0.3996003996004 0.4 0.3996003996004 0.299850074962519 0.34965034965035 0.349825087456272 0.549725137431284 0.699650174912544 0.9 0.299550673989016 0.399400898652022 0.448877805486284 0.3 0.499750124937531 0.3 0.9 0.55 0.599700149925038 0.449775112443778 0.399400898652022 0.299550673989016 0.399002493765586 0.248880039820806 0.399400898652022 0.44955044955045 0.55 0.499750124937531 0.2997002997003 0.44955044955045 0.2 0.45 0.14985014985015 0.199700449326011 0.199600798403194 0.449775112443778
"cette" 0.399201596806387 0.498753117206983 0.54945054945055 0.249252243270189 0.65 0.698602794411178 0.749250749250749 1.09945027486257 0.24975024975025 0.24975024975025 0.3 0.2997002997003 0.499750124937531 0.649350649350649 0.349825087456272 0.649675162418791 0.349825087456272 0.4 0.349475786320519 0.54917623564653 0.249376558603491 0.25 0.299850074962519 0.35 0.8 0.85 0.399800099950025 0.399800099950025 0.649026460309536 0.599101347978033 0.548628428927681 0.497760079641613 0.199700449326011 0.2997002997003 0.25 0.249875062468766 0.4995004995005 0.3996003996004 0.15 0.55 0.34965034965035 0.249625561657514 0.149700598802395 0.0999500249875062
"mais" 0.149700598802395 0.399002493765586 0.24975024975025 0.249252243270189 0.3 0.29940119760479 0.34965034965035 0.199900049975012 0.4995004995005 0.3996003996004 0.6 0.749250749250749 0.199900049975012 0.2997002997003 0.399800099950025 0.449775112443778 0.599700149925038 0.45 0.349475786320519 0.649026460309536 0.548628428927681 0.4 0.549725137431284 0.5 0.45 0.4 0.249875062468766 0.549725137431284 0.649026460309536 0.449326010983525 0.349127182044888 0.348432055749129 0.449326010983525 0.54945054945055 0.85 0.849575212393803 0.1998001998002 0.4995004995005 0.5 0.4 0.2997002997003 0.449326010983525 0.249500998003992 0.299850074962519
"si" 0.249500998003992 0.149625935162095 0.2997002997003 0.149551345962114 0.1 0.449101796407186 0.2997002997003 0.549725137431284 0.34965034965035 0.1998001998002 0.35 0.24975024975025 0.849575212393803 0.899100899100899 0.949525237381309 0.499750124937531 0.349825087456272 0.25 0.798801797304044 0.399400898652022 0.29925187032419 0.25 0.499750124937531 0.3 0.55 0.6 0.699650174912544 0.349825087456272 0.54917623564653 0.299550673989016 0.548628428927681 0.298656047784968 0.599101347978033 0.44955044955045 0.4 0.299850074962519 0.599400599400599 0.4995004995005 0.6 0.45 0.1998001998002 0.449326010983525 0.29940119760479 0.249875062468766
"vous" 0.199600798403194 0.448877805486284 0.0999000999000999 0.348953140578265 0.45 0.29940119760479 0.34965034965035 0.549725137431284 0.14985014985015 0.1998001998002 0.1 0.14985014985015 0 0.14985014985015 0.0499750124937531 0 0.0499750124937531 0 0.0998502246630055 0.0499251123315027 0.0997506234413965 0.1 0 0.2 0.65 0.7 1.14942528735632 0.999500249875062 0.748876684972541 0.599101347978033 1.04738154613466 0.39820806371329 1.54767848227659 1.2987012987013 1.15 0.899550224887556 0.34965034965035 0.4995004995005 0.45 0.3 0.3996003996004 0.149775336994508 0.349301397205589 0.349825087456272
"lui" 0.399201596806387 0.698254364089776 0.4995004995005 0.348953140578265 0.25 0.199600798403194 0.14985014985015 0.249875062468766 0.54945054945055 0.4995004995005 0.45 0.34965034965035 0.349825087456272 0.2997002997003 0.549725137431284 0.199900049975012 0.0999500249875062 0.35 0.149775336994508 0.249625561657514 0.748129675810474 0.55 0.449775112443778 0.55 0.15 0.35 0.349825087456272 0.249875062468766 0.449326010983525 0.199700449326011 0.448877805486284 0.298656047784968 1.24812780828757 0.849150849150849 0.6 0.499750124937531 0.0999000999000999 0.14985014985015 0.3 0.3 0.14985014985015 0.649026460309536 0.898203592814371 0.699650174912544
"ces" 0.449101796407186 0.349127182044888 0.44955044955045 0.398803589232303 0.8 0.249500998003992 0.649350649350649 0.349825087456272 0.2997002997003 0.599400599400599 0.55 0.599400599400599 0.549725137431284 0.44955044955045 0.399800099950025 0.549725137431284 0.599700149925038 0.45 0.399400898652022 0.349475786320519 0.349127182044888 0.55 0.549725137431284 0.6 0.45 0.45 0.249875062468766 0.149925037481259 0.149775336994508 0.349475786320519 0.399002493765586 0.199104031856645 0.199700449326011 0.1998001998002 0.3 0.299850074962519 0.1998001998002 0.24975024975025 0.2 0.35 0.3996003996004 0.299550673989016 0.499001996007984 0.349825087456272
"son" 0.0998003992015968 0.199501246882793 0.34965034965035 0.0997008973080758 0.25 0.29940119760479 0.24975024975025 0.499750124937531 0.54945054945055 0.649350649350649 0.35 0.3996003996004 0.349825087456272 0.34965034965035 0.299850074962519 0.349825087456272 0.649675162418791 0.45 0.0998502246630055 0.299550673989016 0.698254364089776 0.8 0.599700149925038 0.6 0.4 0.2 0.449775112443778 0.299850074962519 0.299550673989016 0.349475786320519 0.249376558603491 0.248880039820806 0.698951572641038 0.699300699300699 0.5 0.449775112443778 0.1998001998002 0.24975024975025 0.3 0.35 0.34965034965035 0.54917623564653 0.29940119760479 0.649675162418791
"ses" 0.349301397205589 0.349127182044888 0.14985014985015 0.149551345962114 0.2 0.29940119760479 0.1998001998002 0.299850074962519 0.699300699300699 0.54945054945055 0.75 0.699300699300699 0.399800099950025 0.14985014985015 0.299850074962519 0.399800099950025 0.149925037481259 0.2 0.349475786320519 0.249625561657514 0.748129675810474 0.9 0.599700149925038 0.7 0.35 0.4 0.199900049975012 0.299850074962519 0.0998502246630055 0.249625561657514 0.0498753117206983 0.0995520159283226 0.199700449326011 0.24975024975025 0.65 0.599700149925038 0.24975024975025 0.1998001998002 0.25 0.2 0.649350649350649 0.54917623564653 0.748502994011976 1.14942528735632
"sa" 0.449101796407186 0.29925187032419 0.4995004995005 0.498504486540379 0.15 0.199600798403194 0.1998001998002 0.299850074962519 0.44955044955045 0.54945054945055 0.55 0.54945054945055 0.449775112443778 0.949050949050949 0.899550224887556 0.499750124937531 0.299850074962519 0.15 0.199700449326011 0.349475786320519 0.448877805486284 0.4 0.699650174912544 0.35 0.3 0.35 0.349825087456272 0.399800099950025 0.149775336994508 0.249625561657514 0.349127182044888 0.149328023892484 0.499251123315027 0.3996003996004 0.45 0.299850074962519 0.24975024975025 0.2997002997003 0.1 0.5 0.14985014985015 0.0499251123315027 0.349301397205589 0.299850074962519
"leur" 0.0998003992015968 0.249376558603491 0.2997002997003 0.448654037886341 0.45 0.29940119760479 0.699300699300699 0.599700149925038 0.4995004995005 0.649350649350649 0.45 0.44955044955045 0.199900049975012 0.04995004995005 0.399800099950025 0.199900049975012 0.299850074962519 0.35 0.399400898652022 0.149775336994508 0.748129675810474 0.35 0.599700149925038 0.4 0.4 0.4 0.299850074962519 0.349825087456272 0.499251123315027 0.399400898652022 0.448877805486284 0.298656047784968 0.399400898652022 0.24975024975025 0.35 0.399800099950025 0.24975024975025 0.34965034965035 0.2 0.5 0.24975024975025 0.149775336994508 0.29940119760479 0.199900049975012
"ils" 0.249500998003992 0.149625935162095 0.1998001998002 0.299102691924227 0.7 0.548902195608782 0.2997002997003 0.399800099950025 0.34965034965035 0.14985014985015 0.45 0.24975024975025 0.299850074962519 0.24975024975025 0.199900049975012 0.299850074962519 0.199900049975012 0.5 0.249625561657514 0.199700449326011 0.548628428927681 0.35 0.199900049975012 0.2 0.35 0.25 0.349825087456272 0.549725137431284 0.449326010983525 0.399400898652022 0.548628428927681 0.248880039820806 0.499251123315027 0.4995004995005 0.75 0.199900049975012 0.699300699300699 0.4995004995005 0.35 0.75 0.2997002997003 0.249625561657514 0.29940119760479 0.199900049975012
"même" 0 0.349127182044888 0.24975024975025 0.299102691924227 0.45 0.349301397205589 0.24975024975025 0.449775112443778 0.4995004995005 0.4995004995005 0.25 0.3996003996004 0.449775112443778 0.649350649350649 0.599700149925038 0.499750124937531 0.299850074962519 0.2 0.149775336994508 0.0998502246630055 0.498753117206983 0.65 0.449775112443778 0.7 0.05 0.45 0.199900049975012 0.199900049975012 0.499251123315027 0.249625561657514 0.349127182044888 0.447984071677451 0.249625561657514 0.3996003996004 0.4 0.349825087456272 0.1998001998002 0.4995004995005 0.3 0.35 0.34965034965035 0.249625561657514 0.199600798403194 0.299850074962519
