Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb34693680p;34693680;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-5756 (2) | ;6;De l'esprit des religions : ouvrage promis et nécessaire à la Confédération universelle des amis de la vérité ([Reprod.]) par Nicolas Bonneville...;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"4 + 5 microfiches acétate de 98 images, diazoïques : ill. ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693680p;34693680;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | 5909 | ;7;De l'esprit des religions : ouvrage promis et nécessaire à la Confédération universelle des amis de la vérité ([Reprod.]) par Nicolas Bonneville...;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"4 + 5 microfiches acétate de 98 images, diazoïques : ill. ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693680p;34693680;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | 5910 | ;8;De l'esprit des religions : ouvrage promis et nécessaire à la Confédération universelle des amis de la vérité ([Reprod.]) par Nicolas Bonneville...;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"4 + 5 microfiches acétate de 98 images, diazoïques : ill. ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693680p;34693680;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | 5909 | ;9;De l'esprit des religions : ouvrage promis et nécessaire à la Confédération universelle des amis de la vérité ([Reprod.]) par Nicolas Bonneville...;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"4 + 5 microfiches acétate de 98 images, diazoïques : ill. ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb34693680p;34693680;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | 5910 | ;10;De l'esprit des religions : ouvrage promis et nécessaire à la Confédération universelle des amis de la vérité ([Reprod.]) par Nicolas Bonneville...;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1792;;;;fre | français | ;"4 + 5 microfiches acétate de 98 images, diazoïques : ill. ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346945663;34694566;monographie;texte imprimé;Document numérique | NUMM-85281 | ;1;L'année MDCCLXXXIX ou Les tribuns du peuple ([Reprod.]) par N. de Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1791;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque : négative ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346945663;34694566;monographie;texte imprimé;Tolbiac | Haut-de-jardin - communication en banque de salle | 5916 | ;2;L'année MDCCLXXXIX ou Les tribuns du peuple ([Reprod.]) par N. de Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1791;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque : négative ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346945663;34694566;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | MICROFICHE M-5762 | ;3;L'année MDCCLXXXIX ou Les tribuns du peuple ([Reprod.]) par N. de Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1791;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque : négative ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346945663;34694566;monographie;texte imprimé;Richelieu | Fonds du service reproduction | BnF | copie de travail | 5916 | ;4;L'année MDCCLXXXIX ou Les tribuns du peuple ([Reprod.]) par N. de Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1791;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque : négative ; 105 * 148 mm";
http://catalogue.bnf.fr/ark:/12148/cb346945663;34694566;monographie;texte imprimé;BnF | Centre technique du livre | collection de sécurité | 5916 | ;5;L'année MDCCLXXXIX ou Les tribuns du peuple ([Reprod.]) par N. de Bonneville;Bonneville, Nicolas de (1760-1828). Auteur du texte;;Hachette (Paris);1791;;;;fre | français | ;"1 microfiche acétate de 98 images, diazoïque : négative ; 105 * 148 mm";
