"","link","author","Auteur","source"
"47","https://catalogue.bnf.fr/ark:/12148/cb31091618b","Pétion","Pétion, Jérôme (1756-1794). Auteur du texte | Carra, Jean-Louis (1742-1793). Auteur du texte | ","both"
"48","https://catalogue.bnf.fr/ark:/12148/cb31091634k","Pétion","Pétion, Jérôme (1756-1794). Auteur du texte | Fauchet, Claude (1744-1793). Auteur du texte | ","both"
"49","https://catalogue.bnf.fr/ark:/12148/cb310916217","Pétion","Pétion, Jérôme (1756-1794). Auteur du texte","both"
"50","https://catalogue.bnf.fr/ark:/12148/cb31091668w","Pétion","Pétion, Jérôme (1756-1794). Auteur du texte","both"
"51","https://catalogue.bnf.fr/ark:/12148/cb310916697","Pétion","Pétion, Jérôme (1756-1794). Auteur du texte","both"
"52","https://catalogue.bnf.fr/ark:/12148/cb310916457","Pétion","Pétion, Jérôme (1756-1794). Auteur du texte","both"
"53","https://catalogue.bnf.fr/ark:/12148/cb310916159","Pétion","Pétion, Jérôme (1756-1794). Auteur du texte | Dufourny de Villiers, Louis-Pierre (1739-1796). Auteur du texte | ","both"
"54","https://catalogue.bnf.fr/ark:/12148/cb31091670f","Pétion","Pétion, Jérôme (1756-1794). Auteur du texte | Couthon, Georges (1755-1794). Auteur du texte | Dubois de Crancé, Edmond-Louis-Alexis (1747-1814). Auteur du texte | ","both"
"55","https://catalogue.bnf.fr/ark:/12148/cb337645744","Laclos","Choderlos de Laclos, Pierre-Ambroise-François (1741-1803). Auteur du texte | Sieyès, Emmanuel-Joseph (1748-1836). Auteur du texte | ","both"
"56","https://catalogue.bnf.fr/ark:/12148/cb30163031s","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"57","https://catalogue.bnf.fr/ark:/12148/cb328009653","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"58","https://catalogue.bnf.fr/ark:/12148/cb388904046","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"59","https://catalogue.bnf.fr/ark:/12148/cb30163036h","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"60","https://catalogue.bnf.fr/ark:/12148/cb31874684t","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"61","https://catalogue.bnf.fr/ark:/12148/cb318746855","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"62","https://catalogue.bnf.fr/ark:/12148/cb33987291c","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"63","https://catalogue.bnf.fr/ark:/12148/cb30163048h","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"64","https://catalogue.bnf.fr/ark:/12148/cb301630444","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
"65","https://catalogue.bnf.fr/ark:/12148/cb30163055s","Brissot","Brissot de Warville, Jacques-Pierre (1754-1793). Auteur du texte","bnf"
